COUNTS (London Underground) ― station annualised entries and exits,,,,,,
,,,,,,
,,,,,,
Counts by Station,,,,,,
,2015,2016,2017,2018,2019,2020
,Annualised,Annualised,Annualised,Annualised,Annualised,Annualised
Station,en / ex,en / ex,en / ex,en / ex,en/ex,en/ex
Snaresbrook,"2,674,477","2,694,225","2,698,086","2,206,139","2,378,289","1,185,716"
South Ealing,"3,699,819","3,617,189","3,366,417","3,239,749","3,518,542","1,630,782"
South Harrow,"2,583,973","2,484,237","2,040,244","2,009,948","2,167,602","1,581,956"
South Kensington,"33,869,744","33,603,151","30,973,313","31,107,890","33,071,847","9,805,549"
South Kenton,"957,195","1,170,483","1,111,318","1,360,968","1,415,443","969,471"
South Ruislip,"1,718,085","1,758,094","1,864,939","1,819,745","1,952,608","992,838"
South Wimbledon,"4,570,440","4,759,428","4,479,909","4,454,359","4,654,244","1,992,804"
South Woodford,"5,148,679","5,247,294","4,861,893","4,719,143","5,271,035","2,308,574"
Southfields,"6,173,897","6,275,587","5,549,834","5,501,560","5,860,615","2,902,818"
Southgate,"5,555,527","5,647,834","5,135,718","4,969,945","5,429,160","2,705,625"
Southwark,"17,937,654","17,861,867","15,437,774","14,455,268","14,953,717","3,568,419"
St. James's Park,"15,698,186","14,934,536","13,228,983","13,300,884","14,479,978","2,919,119"
St. John's Wood,"7,879,484","7,791,962","7,163,771","7,223,498","7,610,612","4,113,555"
St. Paul's,"17,371,372","18,422,362","15,893,472","11,593,079","15,815,893","3,861,774"
Stamford Brook,"2,695,977","2,700,007","2,476,049","2,506,402","2,749,841","1,317,072"
Stanmore,"3,973,686","4,040,589","3,598,707","3,636,738","3,853,243","2,021,467"
Stepney Green,"5,846,372","6,411,775","5,830,936","5,820,825","5,988,691","2,463,108"
Stockwell,"11,082,161","11,423,478","10,735,309","10,225,882","11,075,026","5,370,518"
Stonebridge Park,"2,674,890","2,530,036","2,335,049","2,293,562","2,426,837","1,982,465"
Stratford,"61,442,630","67,047,270","56,717,349","60,034,398","64,853,194","25,071,500"
Sudbury Hill,"2,217,946","1,976,543","1,733,815","1,698,814","1,910,960","1,451,606"
Sudbury Town,"2,179,203","1,996,547","1,663,741","1,588,236","1,825,805","1,278,124"
